FROM , TO
0 , 8
0 , 9
0 , 9
0 , 7
0 , 2
0 , 7
0 , 6
0 , 7
0 , 10
0 , 10
0 , 4
0 , 2
0 , 2
0 , 1
0 , 1
8 , 0
0 , 2
0 , 9
0 , 7
9 , 0
0 , 3
0 , 3
0 , 10
0 , 9
0 , 6
0 , 3
0 , 5
9 , 0
0 , 7
0 , 6
0 , 9
0 , 3
9 , 0
0 , 5
9 , 0
0 , 6
8 , 0
0 , 1
0 , 9
0 , 1
0 , 5
0 , 1
0 , 9
2 , 0
0 , 1
0 , 8
2 , 9
2 , 8
2 , 4
2 , 3
2 , 0
7 , 0
0 , 2
0 , 1
7 , 0
0 , 6
0 , 1
9 , 0
0 , 2
0 , 6
8 , 0
10 , 0
0 , 5
7 , 8
7 , 5
7 , 2
7 , 5
7 , 0
0 , 7
4 , 0
0 , 8
9 , 0
0 , 6
0 , 2
8 , 0
9 , 0
0 , 4
3 , 0
0 , 3
6 , 0
0 , 2
0 , 5
0 , 2
2 , 5
2 , 6
2 , 6
2 , 7
2 , 3
2 , 0
8 , 0
6 , 2
6 , 2
6 , 0
0 , 2
10 , 0
0 , 7
9 , 0
7 , 0
10 , 0
4 , 0
4 , 0
5 , 4
5 , 10
5 , 3
5 , 0
0 , 4
0 , 10
1 , 5
1 , 5
1 , 5
1 , 5
1 , 6
1 , 6
1 , 0
3 , 4
3 , 6
3 , 0
0 , 1
0 , 4
0 , 1
3 , 0
0 , 1
7 , 0
0 , 1
0 , 1
0 , 1
0 , 1
0 , 2
6 , 2
6 , 2
6 , 2
6 , 0
0 , 2
3 , 0
9 , 0
10 , 4
10 , 2
10 , 2
10 , 0
7 , 0
3 , 0
6 , 8
6 , 7
6 , 10
6 , 10
6 , 10
6 , 0
8 , 0
8 , 0
9 , 0
3 , 0
0 , 6
1 , 9
1 , 3
1 , 9
1 , 10
1 , 10
1 , 10
1 , 6
1 , 4
1 , 6
1 , 0
0 , 6
4 , 0
2 , 9
2 , 9
2 , 1
2 , 1
2 , 10
2 , 3
2 , 10
2 , 0
0 , 2
4 , 0
9 , 0
7 , 0
0 , 7
3 , 1
3 , 2
3 , 7
3 , 0
0 , 2
5 , 3
5 , 10
5 , 1
5 , 7
5 , 0
4 , 0
4 , 0
0 , 1
0 , 6
4 , 0
4 , 7
4 , 3
4 , 0
8 , 0
0 , 4
9 , 0
5 , 6
5 , 2
5 , 8
5 , 10
5 , 0
6 , 0
6 , 0
9 , 0
6 , 0
1 , 5
1 , 0
2 , 0
9 , 0
1 , 0
2 , 0
2 , 0
7 , 0
1 , 0
3 , 0
0 , 9
10 , 3
10 , 1
10 , 0
6 , 0
7 , 0
2 , 0
0 , 9
7 , 0
10 , 2
10 , 9
10 , 3
10 , 2
10 , 3
10 , 6
10 , 0
6 , 0
0 , 3
6 , 0
3 , 0
4 , 0
6 , 0
3 , 0
7 , 0
8 , 0
3 , 0
3 , 0
3 , 0
1 , 0
1 , 0
2 , 0
2 , 0
2 , 0
5 , 0
9 , 0
2 , 0
9 , 0
9 , 0
